AuthorId_recipe,RecipeId_encoded,AggregatedRating,TotalTimeMinutes
4470,1655,5.0,15.0
67986,2573,5.0,65.0
15205,1242,5.0,5.0
3288,184,4.5,50.0
28846,709,5.0,60.0
159805,4736,5.0,25.0
47559,1854,5.0,320.0
47559,7031,5.0,30.0
58278,2267,5.0,35.0
94612,3551,4.5,45.0
35288,1029,5.0,45.0
169969,5883,5.0,13.0
56670,2814,5.0,15.0
209747,6779,5.0,15.0
14112,308,5.0,15.0
30080,3329,5.0,20.0
125245,4970,5.0,1.0
47559,1985,5.0,35.0
203823,7248,5.0,25.0
107583,8547,4.5,33.0
209747,6153,5.0,60.0
18391,1110,4.5,310.0
9579,239,5.0,75.0
31232,1321,5.0,135.0
104295,4757,5.0,29.0
47432,3202,5.0,25.0
49304,4765,4.5,65.0
428885,8105,4.5,70.0
37636,1813,5.0,55.0
78808,5091,5.0,70.0
30861,1375,5.0,60.0
58278,2267,5.0,35.0
104295,3724,5.0,40.0
37636,1360,5.0,18.0
74558,3245,5.0,80.0
58104,2886,5.0,65.0
89831,9368,5.0,5.0
303700,9425,5.0,25.0
15875,1641,5.0,35.0
29377,2552,5.0,375.0
80353,3192,5.0,27.0
47559,2037,5.0,35.0
242809,7811,4.0,5.0
23302,1461,5.0,10.0
82616,3042,5.0,50.0
427101,10092,5.0,250.0
15851,1476,5.0,25.0
18391,466,5.0,15.0
88877,3229,5.0,153.0
26278,831,5.0,15.0
21752,647,5.0,2.0
20371,671,5.0,325.0
628779,10870,5.0,75.0
128541,5122,5.0,90.0
212417,7862,5.0,35.0
248292,6478,5.0,40.0
76261,1220,5.0,75.0
20371,761,5.0,5.0
89831,7047,5.0,50.0
89831,11390,5.0,45.0
94272,3860,5.0,25.0
6357,243,5.0,75.0
1555,37,5.0,50.0
30534,1941,5.0,25.0
61660,3784,5.0,75.0
187918,5908,4.5,70.0
36079,1081,5.0,65.0
29063,2478,5.0,510.0
55392,6530,5.0,22.0
16827,1208,5.0,10.0
42623,1492,5.0,7.0
236748,6115,5.0,25.0
283251,7072,5.0,20.0
74904,12125,5.0,10.0
64203,5186,5.0,50.0
314785,12077,5.0,180.0
47230,1785,5.0,75.0
129217,4837,5.0,70.0
15851,4085,5.0,50.0
56087,3162,5.0,18.0
27678,1344,5.0,85.0
315565,11928,5.0,5.0
129177,5145,5.0,195.0
24386,3029,4.5,30.0
705251,12842,5.0,22.0
1555,37,5.0,50.0
77146,9807,3.5,35.0
31232,1321,5.0,135.0
10404,3426,5.0,85.0
89831,8678,5.0,80.0
31695,1841,4.5,55.0
95263,3952,5.0,28.0
463486,10043,5.0,10.0
82367,3345,5.0,75.0
24670,2699,5.0,80.0
457992,8564,4.5,85.0
47559,2868,5.0,65.0
339372,7525,5.0,40.0
18977,2213,5.0,75.0
40597,1396,5.0,30.0
407338,10723,5.0,35.0
266635,12348,5.0,50.0
1634,129,5.0,20.0
21015,427,5.0,15.0
86072,4351,5.0,22.0
204024,13416,5.0,30.0
133174,5129,5.0,65.0
262357,7936,5.0,55.0
126716,4357,5.0,215.0
109855,5087,4.5,1445.0
56251,5384,5.0,55.0
30861,1375,5.0,60.0
23102,2656,4.5,30.0
68884,1850,5.0,30.0
141293,8265,4.5,45.0
1589,11,5.0,20.0
41409,3073,5.0,35.0
25455,708,5.0,80.0
89881,3898,5.0,90.0
37779,2217,5.0,95.0
80998,11081,5.0,45.0
65573,7806,5.0,80.0
27643,1607,4.5,550.0
30534,1941,5.0,25.0
1445414,12664,4.5,10.0
31695,1283,5.0,40.0
60575,4131,5.0,75.0
89831,3541,5.0,65.0
226863,13119,5.0,22.0
92486,4156,5.0,30.0
26041,758,5.0,135.0
235355,7472,5.0,60.0
55221,5971,5.0,45.0
159805,4736,5.0,25.0
121690,4883,5.0,28.0
9690,230,5.0,60.0
1263985,11784,4.5,30.0
1762,67,5.0,70.0
222055,6458,4.5,47.0
52476,1935,5.0,75.0
867847,11893,5.0,190.0
136997,12925,4.5,55.0
67103,2697,4.5,40.0
234491,6110,5.0,6.0
21752,548,5.0,10.0
26313,2590,5.0,40.0
133174,5076,5.0,35.0
6651,1684,5.0,1380.0
240552,9915,4.5,105.0
31695,1841,4.5,55.0
1535,81,5.0,30.0
1373503,11938,5.0,165.0
56447,2209,5.0,70.0
344069,7624,5.0,190.0
89831,10874,5.0,65.0
68460,3188,5.0,45.0
168416,7083,4.5,45.0
57787,2198,5.0,60.0
260516,6650,5.0,27.0
23333,4796,5.0,10.0
38418,4374,5.0,30.0
20754,570,5.0,60.0
89831,3971,5.0,15.0
185105,5546,4.5,55.0
109855,3839,5.0,35.0
27643,993,4.5,19.0
232669,7549,5.0,75.0
1535,105,5.0,190.0
531272,9080,5.0,35.0
129652,5587,4.5,28.0
778632,10314,4.5,125.0
39547,9480,5.0,32.0
778632,10314,4.5,125.0
1379021,12627,5.0,20.0
339372,7525,5.0,40.0
615522,9610,5.0,165.0
30534,2932,5.0,35.0
11044,3258,5.0,130.0
1988741,13355,4.0,42.0
227512,6915,4.5,40.0
29953,13387,5.0,173.0
36944,3208,5.0,15.0
141293,4734,4.0,45.0
979532,13111,4.0,18.0
76074,4852,5.0,70.0
57787,2198,5.0,60.0
226863,12214,5.0,100.0
72483,3885,4.5,143.0
91867,3337,4.5,55.0
23302,541,5.0,55.0
115621,4212,5.0,50.0
30716,3314,5.0,110.0
62043,3239,4.5,90.0
37305,2028,4.0,70.0
737172,10476,5.0,195.0
60575,4131,5.0,75.0
41409,3069,4.5,40.0
32907,4520,5.0,55.0
64583,3379,4.5,15.0
170628,5308,5.0,55.0
199848,6694,5.0,490.0
24386,3084,5.0,70.0
47907,5519,5.0,45.0
49414,9385,5.0,100.0
32326,2509,5.0,30.0
531272,9080,5.0,35.0
28604,4636,4.5,10.0
47559,1735,5.0,20.0
84890,7715,5.0,15.0
675078,13062,5.0,50.0
989631,11120,5.0,260.0
55221,7050,5.0,45.0
199848,5760,5.0,33.0
41531,1488,5.0,495.0
186371,5449,5.0,90.0
320775,9901,4.0,10.0
17803,7732,5.0,30.0
434380,8316,4.5,30.0
133174,6477,5.0,90.0
230258,6616,4.5,145.0
196059,5441,5.0,80.0
20371,4428,5.0,26.0
38532,1237,5.0,22.0
1762,67,5.0,70.0
1807634,12723,4.5,75.0
1535,4892,5.0,130.0
1952,117,5.0,180.0
86627,3414,5.0,30.0
22527,477,5.0,40.0
201762,6933,4.5,485.0
45338,1585,5.0,435.0
103805,3543,5.0,5.0
95743,3674,5.0,20.0
27416,3857,5.0,240.0
192957,6708,5.0,70.0
145352,5333,5.0,60.0
80079,3630,5.0,310.0
41409,3070,5.0,85.0
25455,2555,5.0,200.0
527607,10184,5.0,95.0
112818,6682,4.5,30.0
232385,6037,5.0,150.0
89831,11128,5.0,5.0
282070,7495,4.5,20.0
58282,2215,5.0,80.0
1268187,11663,4.0,20.0
82367,3345,5.0,75.0
186371,5449,5.0,90.0
141293,5030,5.0,30.0
23333,2998,5.0,5.0
196059,5459,5.0,605.0
54187,2279,5.0,15.0
222478,7853,4.5,375.0
325909,7325,5.0,26.0
568205,10294,4.0,50.0
269521,6996,5.0,55.0
1762,67,5.0,70.0
186371,5449,5.0,90.0
1535,6521,5.0,15.0
186979,12363,5.0,35.0
89831,6554,5.0,40.0
186371,5449,5.0,90.0
945395,12580,4.5,75.0
89558,4275,5.0,20.0
149363,6513,5.0,10.0
25483,830,4.5,45.0
199848,6694,5.0,490.0
1534,97,5.0,65.0
92261,3303,5.0,30.0
68460,7339,5.0,75.0
365368,9925,5.0,28.0
37305,6543,5.0,60.0
719562,11049,5.0,105.0
186371,5449,5.0,90.0
132383,5495,5.0,930.0
246844,8776,5.0,205.0
109855,5087,4.5,1445.0
67899,6732,5.0,45.0
89831,8318,5.0,45.0
1129191,11294,4.5,60.0
87870,8132,5.0,30.0
383504,10102,5.0,190.0
26075,2133,4.5,70.0
402057,8063,5.0,55.0
13933,2316,5.0,260.0
186371,5449,5.0,90.0
209818,5560,5.0,22.0
531272,9080,5.0,35.0
184081,5205,5.0,70.0
14059,307,5.0,75.0
192957,6708,5.0,70.0
225837,7675,5.0,60.0
64642,11662,5.0,21.0
55536,4925,5.0,5.0
